//레벨,누적 공격력,누적 체력
1,3000,10000
2,3040,10140
3,3080,10280
4,3120,10420
5,3160,10560
6,3200,10700
7,3240,10840
8,3280,10980
9,3320,11120
10,3360,11260
11,3435,11560
12,3510,11860
13,3585,12160
14,3660,12460
15,3735,12760
16,3810,13060
17,3885,13360
18,3960,13660
19,4035,13960
20,4110,14260
21,4185,14560
22,4260,14860
23,4335,15160
24,4410,15460
25,4485,15760
26,4560,16060
27,4635,16360
28,4710,16660
29,4785,16960
30,4860,17260
31,4965,18760
32,5070,20260
33,5175,21760
34,5280,23260
35,5385,24760
36,5490,26260
37,5595,27760
38,5700,29260
39,5805,30760
40,5910,32260
41,6015,33760
42,6120,35260
43,6225,36760
44,6330,38260
45,6435,39760
46,6540,41260
47,6645,42760
48,6750,44260
49,6855,45760
50,6960,47260
