//레벨,누적 공격력,누적 체력
1,1000,18000
2,1010,19100
3,1020,20200
4,1030,21300
5,1040,22400
6,1050,23500
7,1060,24600
8,1070,25700
9,1080,26800
10,1090,27900
11,1105,30000
12,1120,32100
13,1135,34200
14,1150,36300
15,1165,38400
16,1180,40500
17,1195,42600
18,1210,44700
19,1225,46800
20,1240,48900
21,1255,51000
22,1270,53100
23,1285,55200
24,1300,57300
25,1315,59400
26,1330,61500
27,1345,63600
28,1360,65700
29,1375,67800
30,1390,69900
31,1435,73200
32,1480,76500
33,1525,79800
34,1570,83100
35,1615,86400
36,1660,89700
37,1705,93000
38,1750,96300
39,1795,99600
40,1840,102900
41,1885,106200
42,1930,109500
43,1975,112800
44,2020,116100
45,2065,119400
46,2110,122700
47,2155,126000
48,2200,129300
49,2245,132600
50,2290,135900
